﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/1033190/,失落的一角,https://www.goodreads.com/book/show/30122.The_Missing_Piece,The Missing Piece
https://book.douban.com/subject/1030200/,失落的一角遇见大圆满,https://www.goodreads.com/book/show/30125.The_Missing_Piece_Meets_the_Big_O,The Missing Piece Meets the Big O
https://book.douban.com/subject/4171951/,失落的秘符,https://www.goodreads.com/book/show/6411961-the-lost-symbol,The Lost Symbol
https://book.douban.com/subject/30172069/,失踪的孩子,https://www.goodreads.com/book/show/25242224-the-story-of-the-lost-child,The Story of the Lost Child
https://book.douban.com/subject/1013208/,如何阅读一本书,https://www.goodreads.com/book/show/567610.How_to_Read_a_Book,How to Read a Book: The Classic Guide to Intelligent Reading
https://book.douban.com/subject/27611824/,如父如子,https://www.goodreads.com/book/show/25010567,そして父になる
https://book.douban.com/subject/2043313/,妖怪連絡簿 1,https://www.goodreads.com/book/show/57764209-1,妖怪連絡簿 1
https://book.douban.com/subject/1025753/,妻妾成群,https://www.goodreads.com/book/show/18805106,妻妾成群
https://book.douban.com/subject/26319730/,娱乐至死,https://www.goodreads.com/book/show/74034.Amusing_Ourselves_to_Death,Amusing Ourselves to Death: Public Discourse in the Age of Show Business
https://book.douban.com/subject/3211779/,嫌疑人X的献身,https://www.goodreads.com/book/show/8686068-the-devotion-of-suspect-x,The Devotion of Suspect X
https://book.douban.com/subject/4188697/,子不语 1-2,https://www.goodreads.com/book/show/25714165,"子不语(1,2)"
https://book.douban.com/subject/4934332/,子不语3,https://www.goodreads.com/book/show/58955424-3,子不语 3
https://book.douban.com/subject/1949420/,孙子兵法,https://www.goodreads.com/book/show/10534.The_Art_of_War,The Art of War
https://book.douban.com/subject/4124727/,孤独六讲,https://www.goodreads.com/book/show/25937478,孤独六讲
https://book.douban.com/subject/4207781/,孩子你慢慢来,https://www.goodreads.com/book/show/23507935,孩子你慢慢来
https://book.douban.com/subject/5337254/,孽子,https://www.goodreads.com/book/show/857141.Crystal_Boys,Crystal Boys
https://book.douban.com/subject/2253380/,安娜·卡列尼娜,https://www.goodreads.com/book/show/15823480-anna-karenina,Anna Karenina
https://book.douban.com/subject/1046209/,安徒生童话故事集,https://www.goodreads.com/book/show/46306.The_Complete_Fairy_Tales,The Complete Fairy Tales
https://book.douban.com/subject/1140727/,安德的游戏,https://www.goodreads.com/book/show/375802.Ender_s_Game,Ender's Game
https://book.douban.com/subject/1033778/,富爸爸，穷爸爸,https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,"Rich Dad, Poor Dad"
https://book.douban.com/subject/1031740/,寻羊冒险记,https://www.goodreads.com/book/show/11298.A_Wild_Sheep_Chase,A Wild Sheep Chase
